user,item
2056,2379
9583,3789
3922,3920
3051,429
18754,5415
2911,2112
6901,349
13251,5166
9204,4143
17549,4522
17239,5794
7227,519
15386,4680
1332,978
13256,814
7023,4661
5232,261
9153,2111
11340,849
14352,5332
6737,1823
16751,1509
1413,3791
9820,884
14229,1734
4005,5244
10077,2203
7859,5872
1200,3683
15613,1811
2552,85
13858,1040
16086,2031
16650,4059
7073,4374
11925,4104
17272,3059
3418,199
1499,5413
8132,1685
14231,2719
12247,1122
14588,2956
7788,1094
7081,1232
7108,1335
6495,4518
2276,3011
7897,3481
15452,4495
10502,1978
58,264
416,726
9400,4970
4391,5256
13813,866
2106,1287
10488,3211
15264,1411
3089,266
4830,2859
558,28
16018,5256
12157,3457
11073,639
7062,2279
7155,2470
14386,5050
10489,588
8114,3307
13745,3741
10677,1578
4467,3157
7244,4390
2304,871
6056,3666
1752,3741
3734,4511
13106,4922
3524,1483
7070,4210
7223,5206
15953,1232
10024,609
10731,5197
6025,1320
4514,5605
12931,1134
12781,4573
13557,2350
12827,784
17379,5884
10481,1235
2012,66
3256,2607
16031,2993
3455,1504
15944,4502
10219,4618
6644,961
1890,76
4856,242
7651,4498
9979,4407
2228,71
10844,5609
10023,4679
1016,451
12755,2197
2915,220
11483,4778
12679,1421
15062,1037
7751,2635
34,3545
10146,4520
5982,2912
11689,4654
14251,2515
16558,3799
15666,1151
11238,5886
3081,108
10918,4218
1539,2828
1179,41
15568,3999
18825,2651
13434,2643
4571,2301
591,56
6957,1434
13072,3193
10969,3402
18002,5243
7845,1307
11310,662
7784,3283
17199,4330
11602,2002
2770,3225
10064,1431
2366,139
3261,3435
15453,5715
1511,3008
563,51
2516,83
12860,3845
14947,1413
2868,4672
6051,931
6147,639
12048,1688
12933,3542
6307,3745
15839,1213
2515,1551
9075,5424
5558,1937
15355,3086
8004,1313
11041,2473
18250,2288
5468,731
13995,5288
1350,3440
9913,3490
10319,4932
11016,4106
16224,2717
10699,1955
4461,3206
4707,2481
5116,1188
1172,5770
5482,2477
15487,1111
14506,1424
5664,1959
1803,160
17274,1605
2938,2943
13554,1731
1014,1397
13022,1870
10709,4713
18868,4710
6894,1569
16347,2908
16906,4592
5431,4582
13368,1726
8860,4280
14300,3426
11511,678
1555,4380
10839,4944
3855,1275
12165,4851
861,27
16972,3118
10504,3907
12651,772
18081,4680
15235,4808
18874,4316
4975,5655
14927,4463
18011,2406
18713,2678
7207,5075
4390,3689
17148,5414
17642,1785
18730,5476
13551,2907
891,27
7907,4897
4318,1342
9679,2639
18003,5147
1349,3322
14320,5340
11529,1957
10106,1925
10911,632
18970,2869
4445,2056
12258,854
18272,3470
13402,2410
16158,3520
17632,5769
2685,5987
8409,4892
5255,1457
735,22
6738,5512
19439,5949
9950,2701
2769,1147
9541,961
12089,5340
5292,4907
12561,1363
6064,3474
18242,4358
13276,1116
3964,3422
2404,4782
13636,5034
8496,2393
16956,5728
3900,5100
5013,3398
7391,950
7566,1705
10560,1475
1967,994
13877,932
14276,4613
17985,2608
13431,845
18028,3244
10679,608
8211,4102
14224,5362
2352,4218
11792,2851
17482,2926
10882,5259
14655,2515
2621,5547
3106,112
4811,3048
13589,4972
9032,4601
10393,1311
16444,1365
12328,737
5468,544
4022,1252
4072,615
705,105
18461,2321
16461,4163
16497,1376
9722,3708
1291,2831
6420,5313
2354,76
7858,3933
9360,4258
10470,2847
6858,1752
16622,3707
1670,2827
3382,518
18135,3440
17954,4560
8066,849
15626,2207
803,1929
11720,3109
17685,4143
16582,3527
18088,2281
5801,2393
11266,660
6109,294
37,4089
15472,5123
7843,1716
18271,2173
179,8
3048,241
13965,1421
5415,3296
16293,4713
15302,1120
4188,4307
8629,2251
14885,1017
6789,1342
19306,3944
10316,1575
7026,531
2523,3429
9641,3099
8294,433
12211,821
16500,1377
2782,98
9453,4741
11624,2946
1872,62
1125,5497
14679,5621
3423,2531
14307,3763
13691,3265
14499,3933
1526,2808
12496,3814
12673,1232
5006,1505
15792,5612
17044,5762
4738,936
17953,2348
6573,3164
1965,4548
4348,192
5776,376
5831,275
12665,775
6006,5002
1716,57
41,5631
8432,501
8069,4613
622,5384
16412,2445
3776,151
11,5230
3722,854
15272,2701
3085,1731
6789,5798
10822,4671
14630,982
15471,1598
17864,1902
9318,1267
9999,662
18949,2878
5540,634
6331,5859
89,575
15054,1660
16318,4099
5418,2334
9733,4111
6715,3755
1152,2701
12977,1777
184,31
15896,3817
17718,4120
8663,1164
9284,3726
14423,1978
1463,5976
4281,3046
1855,4514
702,4343
11037,637
13979,1937
7124,368
12640,3296
13156,3590
8772,518
7129,1651
367,273
11014,1592
13405,4267
12230,2085
10774,2105
10477,3050
3125,2395
10394,5267
13441,4863
10805,2357
19129,4111
15409,4237
3604,151
16042,5870
17296,1929
1267,156
7989,415
10300,909
4890,3103
5091,4325
688,4421
7522,5867
3095,1213
9017,2577
7136,1667
8712,1941
5181,4218
1325,511
15676,4177
406,12
6966,4639
8556,647
5156,4161
742,1624
6566,2453
18922,5861
6198,1468
12347,4309
2115,788
10750,4878
1391,2420
3065,3791
16993,4348
14204,1600
1628,1609
477,13
18123,3377
9668,4358
8494,1058
7424,390
11472,4267
5591,1591
10949,3933
16797,5348
1690,393
852,48
4751,2139
3190,645
8159,960
10359,4067
15830,4778
2500,2827
9532,1814
12889,2390
14957,5378
19177,3296
7613,1551
2439,80
11742,4104
14512,948
17817,4744
5024,554
3785,831
10558,1809
9164,2707
6388,1884
5097,1971
9278,2994
10924,4761
13803,2329
7870,2496
3844,2350
4721,2623
14244,5455
3986,713
7790,1978
17647,3932
17734,1834
18596,3327
15896,5724
15280,1062
11622,2066
8311,4309
10632,1327
2989,2186
9780,2050
9472,1897
2302,5420
2362,5471
15803,4220
9416,1773
6269,3481
14233,4892
7820,1978
7487,3266
5195,570
16585,2162
16715,1454
8793,2898
17869,4287
18760,4458
2170,174
0,1605
5475,560
8016,762
7573,2636
4353,4805
10764,1230
17615,3589
3477,970
17243,1731
4185,4440
15317,1078
518,1194
17333,1624
6835,1367
11774,5415
15488,1310
10351,2350
2187,1817
12617,1381
16305,2471
3758,1720
14520,5241
2438,2567
5463,1650
16614,3226
10158,3648
15010,2624
17878,2255
1073,261
5192,4570
13411,4810
6004,284
14643,1110
704,2084
2058,67
609,5230
9618,1425
7885,413
1209,4471
7926,414
1245,718
8157,2821
9203,2149
4075,1023
9818,3176
169,1925
18892,3930
1664,5805
2567,3327
4236,3600
11676,692
14446,946
6216,4489
5715,531
15293,5514
7251,3658
9866,2843
12839,2490
18377,5177
1725,5677
13308,1248
2819,4487
18564,5003
18977,4418
13189,802
5295,884
2755,530
5828,1347
15540,4078
11285,662
4761,3579
12366,4148
6161,3627
1216,1454
9151,2689
14722,1352
10690,5333
10076,1498
19131,4454
18298,5419
18188,3561
8310,538
17570,4680
2176,3455
17537,2288
2532,84
7759,1189
14326,1537
2165,2542
17961,3555
12715,2208
16968,3299
5032,1948
1042,2213
12955,5832
12153,4390
6809,2508
2247,73
6929,358
15827,5582
6259,2041
11620,894
5782,1887
5319,665
5253,2297
12061,4020
5000,1851
1438,2563
18831,4727
10443,1268
6974,4423
17750,4624
4436,3206
12858,2085
12884,1054
2496,2655
11858,3287
344,1659
11784,894
9803,534
1393,2389
7009,2515
17172,3987
6126,3925
15503,4680
4216,2277
5687,845
7534,4588
11328,5165
13771,860
12876,947
18,2778
13228,3092
2278,5936
6927,2863
6780,2813
14072,973
7277,3619
2986,546
13094,5721
18803,2628
14329,4012
15364,1461
12516,762
2812,3776
1859,475
8937,2059
14388,4592
907,28
3510,142
15733,3987
10368,1228
1765,59
6757,3741
12206,721
9314,504
13056,891
16213,2345
3812,3109
18824,4794
18846,4553
17526,5400
9274,2768
17440,1684
10105,2696
17078,4486
16152,1288
9029,493
10784,2984
17310,1611
12454,2893
15174,3592
7201,375
14609,2093
16491,2447
8115,1469
17612,3080
2940,4469
14511,4941
6560,1483
8480,1567
699,4936
19219,5858
11416,1332
16397,3162
5946,277
7392,1232
4802,5487
175,213
13136,3987
14865,1093
1711,3340
2327,5558
19011,3061
8008,417
1022,5747
13914,3500
339,55
2295,358
10593,891
5574,2741
12014,4068
17785,1853
12327,2313
15484,3767
15601,1134
17103,5431
19137,3173
2490,1765
12443,5871
18142,2090
7935,4261
11572,690
2993,107
9479,5751
14985,4019
9909,5335
3876,1134
994,2359
7580,5201
10046,2600
15904,3013
10606,1476
15045,1037
1984,65
8512,1239
8739,464
16543,1428
5786,2223
1887,132
2436,374
940,29
8632,4724
1724,1831
11946,4664
17560,3963
18327,2378
6100,289
13901,4742
8555,2225
7385,387
3610,4024
3400,242
4360,5276
14938,3018
15091,3260
18508,3887
15995,3666
5295,242
16811,4225
7307,854
12692,1047
14856,3743
1683,86
11932,4742
9342,4833
15066,4492
19417,5926
11709,2226
8443,1768
9721,2385
1815,390
18556,4843
7031,3026
19,5445
6571,3041
9236,4033
14848,1007
12129,718
16653,4524
1364,2561
12568,765
14901,1018
15403,2168
6721,706
6759,998
11203,903
14494,2357
1739,5067
5889,4525
3160,1828
2148,1330
19111,4664
12258,724
18049,3857
1187,5493
2109,3065
10282,2960
7398,2796
11304,2648
10524,4937
3248,894
18401,3750
715,21
18015,1994
2466,858
16287,1326
14432,5801
655,4851
7099,1224
17264,3523
17843,1887
13760,1207
7528,583
8653,958
7369,2216
15010,4694
1061,816
9244,5563
7960,2657
15529,2815
15202,2420
7750,2847
8555,1554
13197,3918
4093,289
17054,4063
1655,242
16169,5592
10393,1047
5405,2210
11497,4517
3543,1542
7085,363
15013,2871
9822,1231
2735,93
16040,3677
4706,5592
18350,2226
1779,4600
13168,894
18943,3494
17093,5869
17012,1743
723,3049
5754,270
6776,3930
1468,1705
8457,2308
9396,3459
4943,1748
7176,4803
13566,4323
17141,1564
9684,1647
14219,916
5136,2328
13474,4734
16562,5829
15600,4694
10412,1073
10724,4543
872,489
4604,188
5407,4484
14170,1404
15880,4684
15419,1091
1852,3923
3069,854
12322,3071
15923,2287
14333,3273
15081,1446
13720,3046
6695,2786
578,392
3756,2723
4308,5680
7923,4040
8830,580
9158,3829
16882,4844
9084,1628
4282,2015
16601,2350
806,27
17843,3310
19411,5975
18933,5384
15930,5336
4851,5326
61,812
7683,3048
10042,550
16501,2119
11590,2748
12321,1506
15626,1138
16402,1359
4793,5321
7952,432
5718,1878
18747,4066
3215,4597
15990,5737
1718,2364
14918,4434
18055,2792
15207,2093
9396,3943
8708,1879
3052,634
15605,2139
1503,2183
17950,2217
15276,1671
14472,3566
6136,297
14344,4320
18389,2264
13984,1533
11907,711
3672,3910
4071,209
4904,210
12937,4232
6763,580
6914,3193
10749,3579
15422,1092
8753,467
14374,937
10795,2234
2006,1841
6889,3136
16873,4111
9381,1167
4274,164
7388,3234
803,994
8065,443
11638,1583
15003,5430
5433,1062
15094,5548
5161,374
14474,5840
18910,3440
3671,4947
12066,717
648,1995
5622,2654
13015,866
6769,344
5977,1310
10285,4360
4022,451
4586,4199
14849,2869
10492,5592
16381,2844
4326,4245
8954,4267
5232,1314
3528,1232
9041,479
137,136
2845,5928
15512,1119
16477,4245
19185,5873
6169,4112
13779,861
4952,2428
14071,4645
11476,4392
10726,3894
4336,1930
6419,5950
8112,5119
409,1763
6976,2111
4539,3198
11466,671
4585,1853
5748,268
16343,1397
17007,4595
86,4870
5489,1505
18207,2111
16512,3835
11703,3243
6023,5576
16393,4143
17950,4929
5364,278
4711,4594
626,3279
4819,4127
13336,826
5163,1685
3802,2531
6744,2111
10533,2344
13093,1822
1907,5887
19235,3492
10814,1805
12598,1062
459,1826
13079,5307
5149,2726
3936,252
15861,1222
2745,1509
15387,4749
18701,4689
7300,464
2384,3193
3258,1505
4109,3563
8185,3072
16884,1505
17627,1778
2457,1227
2441,5420
18616,3046
1214,3048
1952,2223
12528,3110
6459,4170
4045,545
15946,4339
18707,5793
18585,2420
14075,5837
4727,350
19068,3328
3173,3999
6542,2892
9663,717
16767,5242
14924,2372
18709,3395
4373,2481
3402,4236
4629,192
1021,559
10790,2858
7065,1886
13025,1822
19042,3046
19420,5850
16947,4247
16050,1255
1817,62
9549,2658
8284,3212
18258,2533
10794,4855
10651,605
10413,1191
19413,5968
12064,858
6066,4602
19127,3130
775,1792
12836,3589
4749,1024
6958,5937
13073,2778
18214,2611
6254,4838
13222,4564
11166,647
3,0
13925,2994
1769,4343
15148,1460
17553,4033
8014,476
1533,2531
7388,953
15905,4822
17605,3442
5951,5187
3437,392
1744,499
3428,2558
10775,617
737,345
11611,889
3849,336
7691,1893
12966,1726
1056,98
17396,4207
13010,3718
16766,3811
11826,1982
4842,1723
18725,3823
9632,575
2133,2876
11765,5678
11291,1823
13677,3400
6232,302
6653,332
19373,4983
2148,151
18867,4064
419,12
8516,2541
1203,4066
11306,2481
2992,5387
2636,90
5559,3592
7744,1503
11238,4040
12178,720
1236,3425
6262,302
13729,4879
780,176
2478,2133
13751,2948
4470,2093
7470,5815
17160,4623
11069,5170
13042,916
4632,1862
16256,2904
16335,3951
5406,502
822,4724
14395,3400
10310,2085
14627,4689
950,4909
16387,3360
17906,3100
9888,4836
12661,2163
15732,2345
14240,2708
2464,3524
12089,1937
15191,3684
9102,894
12063,716
537,17
3183,4931
14033,917
3403,2985
9633,530
12296,2415
606,1285
5458,261
17297,3931
14057,4694
172,269
14591,1595
12547,3165
9113,679
45,3877
15105,5788
1280,3858
5628,1611
2952,4402
5366,2365
13602,2020
15663,1585
18247,5621
7970,637
11736,5582
13250,814
10343,3672
5021,3269
15750,1180
13415,4264
6463,318
12591,2282
14623,3361
900,203
10017,1593
2871,5702
13888,2390
13356,2529
12856,3869
17808,4769
3042,107
2930,3838
9858,4165
6200,5169
5436,4019
16088,1710
17867,4595
1217,260
10929,5243
14456,5476
8272,1860
15067,2597
17326,2901
19408,5787
1206,4982
12418,1549
2979,4080
7836,3400
11556,4028
8082,423
5863,2901
13193,5517
8525,1932
6212,5529
1305,3648
10608,2010
17349,2511
17335,2613
2701,2042
13358,831
7718,4283
18861,4463
2913,3618
18716,5802
2419,77
2329,3567
14060,1288
12678,2011
14335,3213
11408,2221
17748,2378
5384,4744
10618,604
16719,2465
12821,784
3755,1803
11993,2093
4947,1710
4985,2002
10580,1251
12667,4481
14991,2736
18647,5823
10747,610
11337,3859
15576,5052
19382,4700
7715,2076
8870,4545
926,2258
19,3274
11712,4675
3226,119
10311,4402
16300,1326
15202,1054
16797,2132
12156,2622
12739,4892
8763,891
6939,515
4019,694
10882,2124
8239,891
13564,3285
658,3382
16437,4980
19250,5870
11578,1827
13753,1494
10184,3479
9282,4839
8029,5218
7912,1435
12559,4143
7722,3755
13192,2366
88,4
18887,2785
4683,4242
5648,4924
13640,1967
1986,3712
10200,3608
15396,3148
7736,4592
1568,1509
4126,160
609,2335
1261,46
5275,2841
17195,3467
6973,634
18117,5203
17511,5393
15363,4139
5776,356
16371,3205
15785,2327
15075,4611
10934,1509
7788,4351
586,257
11334,662
4061,1054
12643,5318
8312,564
17290,1610
2059,1315
6942,358
5999,1717
4512,172
18796,2616
9128,1123
10253,5662
13179,2265
5286,2949
11485,2901
5007,1090
14902,3528
11822,1540
576,5554
3169,4980
294,206
662,4574
13683,5181
4349,2810
6972,358
93,1613
69,1027
1509,474
15244,3642
16185,1456
5039,224
13327,823
4839,1856
6792,2642
17931,1949
17492,5285
18901,5419
14663,5582
248,211
15534,1122
16487,5177
16982,2904
5485,691
6963,430
15808,3576
44,1320
18858,2689
16612,5064
863,4806
11949,3543
16687,1451
12279,1203
6430,317
12001,5396
1920,4488
14260,5700
3527,3883
13410,834
6596,3238
8425,1514
10899,5944
18340,2884
8696,1977
11576,679
5858,276
11257,2619
13564,3903
3853,1774
9247,3019
8104,5256
2572,105
9327,504
13993,3262
15314,5269
4032,204
6401,2366
11919,1957
3278,4468
2757,824
10126,894
18751,2576
16662,2683
4927,1056
1348,2353
15274,2837
5888,276
5186,758
12493,1670
15694,2642
13361,4109
18987,4923
9357,504
16480,5271
5033,4865
14704,5875
12500,3780
13140,2420
12319,736
18234,3373
9830,3353
2872,5069
18392,2269
10421,1542
10617,2420
16284,1545
14183,2581
19143,3342
9642,4995
14122,4557
18854,3239
2345,75
10805,3410
4289,1307
4891,1375
181,8
4140,2904
7851,3978
11405,4314
3449,512
9698,2271
16069,3993
4462,2366
1024,2390
2718,5891
4041,5527
1171,1097
2702,470
16272,1319
2416,76
18905,3527
5388,3470
2934,5142
5353,251
17706,5832
12689,2093
13919,4736
3542,5964
18455,2917
13496,846
4862,2084
14621,2941
15691,1165
18822,3650
5952,3404
11693,4730
246,352
13484,2714
9055,5561
14846,2278
2962,2063
4378,170
9125,638
10782,1840
73,1363
7497,5304
12924,1559
14847,2880
17350,5796
4279,164
15807,2629
2584,5271
783,183
3957,1052
5660,3353
7442,5755
5281,324
18722,4735
10666,2015
7039,2332
11717,4161
12648,1287
17925,1947
12749,2093
925,1175
4872,5000
14588,5221
12112,718
17058,5745
461,4454
7236,3785
10421,871
801,358
3399,128
8359,5053
14556,960
3420,416
5428,909
5228,1787
6482,320
8718,5336
8749,485
17641,3477
7066,1280
5627,3189
13601,2844
12694,3860
13095,4958
2305,2607
8776,3247
10968,2329
3992,1931
17521,2779
912,4861
2164,2567
9383,2878
14245,3296
11860,4573
6270,3416
3424,134
6691,5166
6663,3118
159,86
16929,5469
15482,3353
19339,5942
7255,4161
1007,2812
565,215
896,729
16823,5423
5893,4755
6184,3241
2082,67
3606,151
16419,1583
15870,2307
7950,414
2683,5360
17972,4879
19109,4325
11505,4358
18370,4925
17403,5890
3533,4749
10529,1073
9591,2776
1826,2706
263,385
8780,4254
15657,5582
7699,4151
17730,3252
7771,3273
5983,2554
11382,4143
2153,68
3636,151
16788,3493
6218,3360
3966,1783
6729,4064
11736,699
16815,5316
559,154
19148,5569
12790,2362
11699,817
4195,2774
6614,327
17185,1624
7463,3278
3132,2496
11282,4851
1435,1895
9160,5010
11610,2438
3666,151
11594,3625
17793,1857
13435,972
17935,4192
4912,3704
6080,4715
18993,3345
6825,2617
18597,5065
18120,3191
4249,916
3094,110
9412,508
10869,3342
12722,2204
12782,3009
12374,740
2312,74
14762,3898
15392,1850
12136,2080
6857,4757
1508,2531
13438,1593
1626,3718
113,3958
2007,377
10264,909
13941,901
18240,2145
6722,5471
12111,2208
14853,1168
5605,261
8001,836
17857,5009
5956,2935
12057,4042
13629,3416
4329,3073
18973,2854
380,2393
7097,2500
18611,2438
2052,3129
14612,2395
3299,5187
10689,3882
17048,1837
14503,947
2027,3072
2536,2949
6336,308
8280,1540
10353,4872
12602,4488
9558,2157
9971,2326
2293,2410
4626,2663
11863,5088
15712,1400
18852,2685
3074,531
12788,4089
16857,2427
1299,1737
13510,849
11383,664
17711,5722
679,531
3590,4962
2052,1974
8368,3989
7210,1222
8275,5518
1611,511
9290,3281
18041,3382
10718,1213
14873,1015
4778,209
4074,4028
18752,5837
7088,1232
14438,5224
11488,2528
17477,1704
829,1414
2955,4572
17525,4404
10992,634
13275,1332
15095,4218
14737,4510
15169,4167
16609,3614
16015,5881
8699,719
8133,2028
14738,5112
13131,3273
5567,261
18122,3347
18602,4738
16952,1509
5047,225
5373,2839
15770,3983
4779,410
5128,564
10675,2805
50,5217
5437,1319
8794,1895
15215,3172
17577,4163
5882,3655
830,5557
9459,2285
4428,2058
15670,3752
15160,4404
7959,1444
12916,2688
7343,946
192,547
2506,558
4120,1124
8003,992
15960,1232
4833,242
7667,1982
325,2015
10786,3144
10505,650
15245,3357
17914,2778
3996,657
5259,242
13660,4660
12683,773
14837,5225
5440,4949
5808,2901
10925,2148
13991,1232
6303,628
17736,5108
15289,1535
6375,504
13295,2468
17820,4247
4105,3983
17901,5175
12701,1729
6591,5232
16104,2650
3328,4291
15011,1032
3257,5579
5289,242
17756,3481
16448,3399
13170,3870
15393,4517
6599,3780
18378,2481
18772,2600
6874,1541
2481,2325
15418,5513
10103,2309
14976,2916
2596,585
161,55
12225,5533
16000,5868
6103,1105
3213,2624
11734,3202
7317,3400
15820,5119
6379,2851
11365,2581
3381,5591
15802,2069
13314,1905
11982,4435
10263,5573
17586,3046
270,348
214,416
1518,3008
6547,5818
733,4953
2391,5791
10436,2468
4041,160
3079,1469
2929,4908
2318,590
11645,5954
19427,5439
982,5630
394,10
2520,3168
6818,1558
9158,2036
13948,888
19197,5916
14539,4739
8345,435
695,2567
5621,4498
16909,4093
13929,1777
13053,4358
15899,1978
5647,434
10910,1196
18890,3140
3121,540
10249,5651
144,185
12742,3907
5156,1136
17364,1640
5958,1235
9900,4716
183,298
13633,853
17325,5849
2278,5863
1813,3060
13035,2624
12575,5083
11243,5169
11279,662
1857,2608
81,3404
17070,1543
14470,946
2333,2537
2957,4616
2140,2142
285,201
867,5252
11891,2357
6230,768
11044,4178
10944,3008
15015,1419
10355,2613
11871,2644
7609,501
18849,4778
5943,711
6098,2534
11495,3296
14351,1604
1594,1043
5181,3771
6155,2287
5370,260
9174,5497
8005,851
5783,3812
9071,1585
3443,136
16249,2087
3601,4694
5151,337
11770,3127
2444,1563
12039,3517
13770,1450
17932,2231
5817,3581
2897,1316
17396,1662
7840,410
4436,2462
3269,141
8990,2535
18346,2221
14313,1096
8179,3259
15918,2862
4168,4899
11047,638
4331,167
2927,377
12992,4724
12892,3554
16396,3803
7896,4075
1886,1578
6268,605
13197,2877
12980,4340
13749,5834
13694,3683
14818,3833
7717,2797
12586,1942
9647,1879
4721,3920
12620,772
15982,1692
14151,4309
3669,2303
7303,713
8748,504
13225,1111
3178,5449
16633,5594
917,2066
2770,4900
4504,3104
7625,4147
8461,447
11551,679
7540,5729
13192,2102
5028,1569
13256,1363
14214,5008
12335,2481
15592,1133
1392,4052
9573,4000
9917,3810
13587,1877
11357,813
7456,2059
15040,1559
9214,1623
1731,485
7333,713
16421,1365
9899,5109
8730,463
8372,755
18014,4999
8817,3091
3073,5409
18579,3465
8651,2799
9281,751
16328,1524
15175,5517
4642,2822
9795,972
3472,984
11092,4837
12928,4284
13699,4161
13960,2216
7537,4276
16847,3809
13113,3283
3422,2560
9984,844
2995,241
82,2153
7783,4682
68,3
2783,358
13269,2483
9628,2902
14856,1576
4491,909
804,229
1199,5454
17720,5437
18783,4934
5626,1248
11852,4309
5403,1176
17118,2336
1256,2955
15361,4902
14614,3921
11692,3273
10193,2657
11905,4320
9473,1055
15975,4014
13930,3639
8271,433
8312,434
5908,1469
14693,4564
2945,4984
16508,3696
3557,2330
219,5968
1248,219
11965,5475
6105,293
5124,606
15707,1166
19440,5971
17619,2860
14458,3916
19391,4766
1703,210
7379,387
1962,5574
5419,904
9703,3560
7608,1378
172,86
8943,3283
1357,512
17664,2229
15526,5827
5956,3179
16902,5289
5078,961
4049,294
10499,619
5836,1542
7042,593
5422,5874
11401,2642
13101,2228
19145,3555
14033,2962
2553,2608
18413,5326
11665,3654
7076,362
6860,5433
13892,4420
10657,5527
18499,3565
4414,3024
11597,3870
732,436
9701,1928
1652,1345
12123,718
17842,2477
17919,1943
16324,5591
10627,2093
11917,1781
415,1668
15805,1993
6629,3406
8726,4880
4813,4611
9560,2073
13204,1925
12572,894
2837,4595
4571,2045
1553,1689
7076,5034
4305,5309
8543,450
15437,1947
5493,4720
763,257
15775,1188
13458,879
846,5395
3363,1793
14646,3296
5248,5828
9511,5163
15564,1126
16137,2708
8745,3186
10183,5970
15704,2826
14823,5063
5817,2723
4590,351
9932,3126
1871,62
17132,4141
2132,2281
17762,2093
18984,5784
4817,4679
1477,1828
19233,4044
8672,1745
7132,1128
10449,585
15800,1194
11779,1392
3611,151
832,5473
6038,5701
12184,2609
8755,467
23,3614
17721,2442
4305,5443
14584,1640
15326,4694
19281,5374
7117,446
18407,2366
6387,5296
14396,5726
18231,2140
1156,2537
1906,1537
12957,2717
14500,1353
4787,4813
3775,151
7923,5390
12023,5293
13212,957
13484,5617
14864,2569
16142,3186
9471,4178
6422,1503
18072,2268
4835,2760
14909,3251
5387,3273
2216,423
19239,3808
12793,1912
9276,4087
11242,5078
2599,4510
15577,4289
17493,5193
4681,199
6037,2981
18011,5533
5914,1827
812,1922
2121,4104
7701,4573
2632,4808
13126,5885
12883,1963
12537,1326
1539,3190
3934,157
8963,715
7502,391
13161,1907
19267,4112
10229,571
3513,3510
2864,5316
14008,1025
802,3836
17302,5194
8520,3528
1560,4417
832,2924
2446,80
17017,5964
5610,261
12815,4838
2825,4048
13303,4592
5133,1770
3827,3269
17858,5267
3262,3268
1676,54
14100,1903
9111,1875
17340,2079
1302,752
3905,866
17496,2592
18198,2110
